агитировать	сагитировать
актировать	заактировать
алеть	поалеть
анализировать	проанализировать
аннотировать	проаннотировать
арендовать	заарендовать
арканить	заарканить
асфальтировать	заасфальтировать
баламутить	взбаламутить
баламутить	набаламутить
балансировать	сбалансировать
балластировать	забалластировать
баловать	избаловать
бальзамировать	забальзамировать
бальзамировать	набальзамировать
баррикадировать	забаррикадировать
басить	пробасить
баюкать	убаюкать
безобразить	обезобразить
белить	выбелить
белить	набелить
белить	побелить
бередить	разбередить
бесить	взбесить
беспокоить	обеспокоить
беспокоить	побеспокоить
бессилить	обессилить
бесславить	обесславить
бесчестить	обесчестить
бетонировать	забетонировать
бинтовать	забинтовать
бить	побить
бить	пробить
бить	разбить
благодарить	поблагодарить
блюсти	соблюсти
боготворить	обоготворить
бодать	забодать
бодрить	взбодрить
болтать	взболтать
бормотать	пробормотать
бороздить	взбороздить
боронить	взборонить
боронить	заборонить
бороновать	взбороновать
бороновать	забороновать
бороть	побороть
браковать	забраковать
бранить	выбранить
брехать	пробрехать
брить	побрить
бродить	выбродить
бронзировать	набронзировать
бронировать	забронировать
бронировать	забронировать
брошюровать	сброшюровать
брюзгнуть	обрюзгнуть
бряцать	пробряцать
бубнить	пробубнить
будить	пробудить
будить	разбудить
будоражить	взбудоражить
булгачить	взбулгачить
бунтовать	взбунтовать
буравить	пробуравить
бурить	пробурить
бурчать	пробурчать
бутить	забутить
бухнуть	разбухнуть
ваксить	наваксить
валить	повалить
валять	навалять
валять	обвалять
валять	свалять
варганить	сварганить
варить	сварить
везти	повезти
вентилировать	провентилировать
венчать	обвенчать
венчать	повенчать
венчать	увенчать
вербовать	завербовать
вередить	развередить
верстать	поверстать
верстать	сверстать
вертеть	провертеть
вертеть	свернуть
вертеть	свертеть
вершить	повершить
веселить	повеселить
веселить	развеселить
вести	повести
вести	привести
вести	провести
вечереть	повечереть
вечереть	свечереть
вечерять	повечерять
вешать	повесить
вешать	свешать
вещать	провещать
веять	провеять
видать	повидать
видать	увидать
видеть	увидеть
визировать	завизировать
вить	свить
влечь	повлечь
возить	отвозить
волгнуть	наволгнуть
волгнуть	отволгнуть
волновать	взволновать
волочить	проволочить
воровать	своровать
воротить	поворотить
воротить	своротить
ворсить	наворсить
ворсовать	наворсовать
вощить	навощить
врать	наврать
врать	соврать
врачевать	уврачевать
вредить	повредить
вуалировать	завуалировать
вьючить	навьючить
вязать	связать
вялить	провялить
гадить	нагадить
гарпунить	загарпунить
гасить	загасить
гасить	погасить
гасить	угасить
гатить	загатить
герметизировать	загерметизировать
гипнотизировать	загипнотизировать
гипсовать	загипсовать
гладить	выгладить
гладить	погладить
глотать	проглотить
глушить	заглушить
глушить	оглушить
глядеть	поглядеть
глянцевать	наглянцевать
гнать	выгнать
гнать	отогнать
гнать	прогнать
гневить	прогневить
гноить	сгноить
гнуть	погнуть
гнуть	согнуть
гоготать	прогоготать
голосовать	проголосовать
голубить	приголубить
горбить	сгорбить
горячить	разгорячить
готовить	заготовить
готовить	подготовить
готовить	приготовить
готовить	сготовить
гофрировать	нагофрировать
грабастать	заграбастать
грабастать	сграбастать
грабить	ограбить
гравировать	выгравировать
гравировать	награвировать
гравировать	отгравировать
гранить	огранить
графить	разграфить
грести	сгрести
греть	взгреть
греть	нагреть
греть	согреть
гримировать	загримировать
гримировать	нагримировать
гробить	загробить
гробить	угробить
громить	разгромить
громоздить	нагромоздить
грохотить	прогрохотить
грузить	загрузить
грузить	нагрузить
грузить	погрузить
грузнеть	огрузнеть
грунтовать	загрунтовать
грунтовать	нагрунтовать
группировать	сгруппировать
грызть	разгрызть
грязнить	загрязнить
грязнить	нагрязнить
грязнуть	погрязнуть
губить	загубить
губить	погубить
губить	сгубить
гудронировать	загудронировать
густить	загустить
густить	сгустить
давить	задавить
давить	раздавить
давить	удавить
дарить	подарить
двоить	вздвоить
двоить	сдвоить
девать	подевать
дегустировать	продегустировать
дезинфицировать	продезинфицировать
декламировать	продекламировать
декорировать	задекорировать
делать	сделать
делить	поделить
делить	разделить
демонстрировать	продемонстрировать
дешевить	продешевить
диктовать	продиктовать
дисковать	продисковать
дичать	задичать
длиннеть	подлиннеть
доить	подоить
долбить	выдолбить
долбить	продолбить
должать	задолжать
дохнуть	издохнуть
драить	выдраить
драить	надраить
драпировать	задрапировать
драть	выдрать
драть	задрать
драть	ободрать
драть	отодрать
драть	разодрать
драть	содрать
дрессировать	выдрессировать
дробить	раздробить
дрючить	вздрючить
дряхлеть	подряхлеть
дубасить	отдубасить
дубить	выдубить
дублировать	продублировать
дублировать	сдублировать
дурачить	одурачить
дурманить	одурманить
дуть	выдуть
душить	задушить
душить	надушить
душить	удушить
ежить	съежить
ерошить	взъерошить
ершить	взъершить
есть	поесть
есть	разъесть
есть	съесть
жалеть	пожалеть
жалить	ужалить
жаловать	пожаловать
жарить	зажарить
жарить	изжарить
жарить	пожарить
жать	выжать
жать	сжать
жать	сжать
желать	пожелать
желтить	выжелтить
желтить	зажелтить
женить	поженить
жертвовать	пожертвовать
жечь	сжечь
животворить	оживотворить
жмурить	зажмурить
жрать	сожрать
заботить	озаботить
заимствовать	позаимствовать
звать	позвать
зевать	прозевать
зеленить	позеленить
златить	озлатить
златить	позлатить
злеть	озлеть
злить	обозлить
злить	озлить
злить	разозлить
знакомить	ознакомить
знакомить	познакомить
знаменовать	ознаменовать
золотеть	позолотеть
золотить	вызолотить
золотить	озолотить
золотить	позолотить
зондировать	позондировать
зондировать	прозондировать
зреть	узреть
зубрить	вызубрить
зубрить	зазубрить
зубрить	назубрить
зябнуть	вызябнуть
играть	сыграть
идти	пойти
известковать	произвестковать
иллюстрировать	проиллюстрировать
именовать	наименовать
иметь	заиметь
имитировать	сымитировать
импровизировать	сымпровизировать
инспектировать	проинспектировать
инструктировать	проинструктировать
интервьюировать	проинтервьюировать
интриговать	заинтриговать
информировать	проинформировать
итожить	подытожить
калечить	искалечить
калечить	покалечить
калибровать	прокалибровать
калькировать	скалькировать
калькулировать	скалькулировать
камуфлировать	закамуфлировать
канителить	проканителить
канифолить	наканифолить
кантовать	окантовать
капать	накапать
карать	покарать
катать	выкатать
катать	скатать
квакать	проквакать
квасить	заквасить
квасить	сквасить
кипятить	вскипятить
киснуть	скиснуть
классифицировать	расклассифицировать
класть	положить
класть	сложить
клеить	склеить
клеймить	заклеймить
клепать	выклепать
клепать	склепать
клянчить	выклянчить
ковать	выковать
ковать	подковать
ковать	сковать
коверкать	исковеркать
кодировать	закодировать
козырять	откозырять
кокать	укокать
колебать	поколебать
колеть	заколеть
колотить	поколотить
колоть	заколоть
колоть	расколоть
колоть	уколоть
колошматить	отколошматить
колпачить	околпачить
кольцевать	закольцевать
кольцевать	окольцевать
командовать	скомандовать
комбинировать	скомбинировать
комкать	скомкать
комментировать	прокомментировать
компилировать	скомпилировать
комплектовать	скомплектовать
комплектовать	укомплектовать
компоновать	скомпоновать
компостировать	закомпостировать
компостировать	прокомпостировать
компрометировать	скомпрометировать
конденсировать	сконденсировать
конопатить	законопатить
конопатить	проконопатить
консервировать	законсервировать
конспектировать	законспектировать
конспектировать	проконспектировать
конспирировать	законспирировать
конструировать	сконструировать
консультировать	проконсультировать
контрактовать	законтрактовать
контролировать	проконтролировать
конфузить	сконфузить
концентрировать	сконцентрировать
кооперировать	скооперировать
координировать	скоординировать
копать	выкопать
копировать	скопировать
копить	накопить
копить	скопить
копнить	скопнить
коптить	выкоптить
коптить	закоптить
коптить	накоптить
корежить	искорежить
корежить	покорежить
корежить	скорежить
кормить	накормить
кормить	покормить
кормить	прокормить
корнать	обкорнать
корнать	окорнать
коробить	покоробить
коротать	скоротать
корректировать	откорректировать
корректировать	прокорректировать
корректировать	скорректировать
корчевать	выкорчевать
корчить	скорчить
косить	покосить
косить	покосить
косить	скосить
косить	скосить
косматить	вскосматить
косматить	раскосматить
костылять	накостылять
красить	выкрасить
красить	накрасить
красить	окрасить
красить	покрасить
красть	украсть
крахмалить	накрахмалить
кренить	накренить
крепить	закрепить
крестить	окрестить
крестить	перекрестить
кривить	искривить
кривить	покривить
кривить	скривить
кристаллизовать	закристаллизовать
кричать	прокричать
кровавить	окровавить
кровенить	окровенить
кроить	выкроить
кроить	раскроить
кроить	скроить
кромсать	искромсать
кромсать	раскромсать
кропать	накропать
кропать	скропать
кропить	окропить
крошить	искрошить
крошить	накрошить
крошить	раскрошить
круглить	округлить
крутить	закрутить
крутить	прокрутить
крутить	скрутить
крыть	покрыть
крючить	скрючить
кулемать	скулемать
купать	выкупать
купать	искупать
курить	покурить
кусать	покусать
кутать	закутать
кутать	окутать
кутать	укутать
кушать	покушать
кушать	скушать
лакать	вылакать
лакировать	отлакировать
лакомить	полакомить
ласкать	приласкать
латать	залатать
лгать	налгать
левачить	слевачить
леденеть	обледенеть
леденить	заледенить
леденить	оледенить
лелеять	взлелеять
лепетать	пролепетать
лепить	вылепить
лепить	залепить
лепить	налепить
лепить	слепить
лечить	вылечить
лечить	излечить
линовать	налиновать
липнуть	прилипнуть
листать	перелистать
лить	вылить
лить	отлить
лицевать	облицевать
лицевать	перелицевать
лицезреть	улицезреть
лобызать	облобызать
ломать	поломать
ломать	сломать
лопать	слопать
лопотать	пролопотать
лохматить	взлохматить
лохматить	разлохматить
лощить	вылощить
лощить	налощить
лудить	вылудить
лудить	полудить
лупить	облупить
лупить	отлупить
лупить	слупить
лупцевать	отлупцевать
лущить	взлущить
лущить	вылущить
лущить	облущить
лямзить	слямзить
ляпать	наляпать
ляпать	сляпать
мазать	вымазать
мазать	замазать
мазать	измазать
мазать	намазать
мазать	помазать
мазать	промазать
малевать	намалевать
манить	взманить
манить	поманить
марать	вымарать
марать	замарать
марать	измарать
марать	намарать
мариновать	замариновать
маркировать	замаркировать
маскировать	замаскировать
маслить	намаслить
маслить	помаслить
мастерить	смастерить
матрицировать	заматрицировать
меблировать	обмеблировать
меблировать	омеблировать
мелить	намелить
мельчить	измельчить
мельчить	размельчить
менять	изменить
менять	обменять
менять	переменить
менять	поменять
менять	разменять
менять	сменить
мерзеть	омерзеть
мерить	измерить
мерить	померить
мерить	примерить
мерить	смерить
меркнуть	смеркнуть
мерять	смерять
месить	замесить
мести	подмести
метать	выметать
метать	выметать
метать	наметать
метать	сметать
метить	наметить
метить	пометить
мешать	смешать
мешкать	замешкать
миловать	помиловать
минировать	заминировать
мирить	помирить
мирить	примирить
млеть	замлеть
множить	помножить
множить	умножить
мобилизовать	отмобилизовать
моделировать	смоделировать
мозолить	намозолить
молкнуть	замолкнуть
молкнуть	смолкнуть
молкнуть	умолкнуть
молотить	обмолотить
молотить	смолотить
молоть	помолоть
молоть	смолоть
монтировать	смонтировать
мордовать	замордовать
морить	выморить
морить	заморить
морить	поморить
морить	уморить
морозить	заморозить
морозить	поморозить
морочить	заморочить
морочить	обморочить
морщить	наморщить
морщить	сморщить
мостить	вымостить
мостить	замостить
мостить	намостить
мотать	замотать
мотать	намотать
мотать	помотать
мотать	промотать
мотать	умотать
мотыжить	промотыжить
мочалить	размочалить
мочить	вымочить
мочить	замочить
мочить	намочить
мрачить	омрачить
мурлыкать	промурлыкать
муровать	обмуровать
муслить	замуслить
муслить	намуслить
мусолить	замусолить
мутить	взмутить
мутить	замутить
мутить	помутить
мучать	замучать
мучать	измучать
мучить	замучить
мучить	измучить
муштровать	вымуштровать
мызгать	замызгать
мылить	намылить
мытарить	замытарить
мытарить	измытарить
мыть	вымыть
мыть	помыть
мягчеть	помягчеть
мягчить	смягчить
мямлить	промямлить
мять	измять
мять	размять
мять	смять
навозить	унавозить
наркотизировать	занаркотизировать
насиловать	изнасиловать
наследовать	унаследовать
нахальничать	снахальничать
неволить	приневолить
нести	понести
нести	снести
низать	нанизать
никелировать	отникелировать
нумеровать	занумеровать
нумеровать	пронумеровать
нюхать	понюхать
обещать	пообещать
обогнуть	огибать
одеколонить	наодеколонить
оперировать	прооперировать
оперировать	соперировать
организовать	сорганизовать
ориентировать	сориентировать
осторожничать	поосторожничать
охрить	наохрить
паковать	запаковать
паковать	упаковать
пакостить	запакостить
палить	выпалить
палить	опалить
палить	спалить
парировать	отпарировать
парить	выпарить
парить	упарить
патентовать	запатентовать
пахать	вспахать
пачкать	выпачкать
пачкать	запачкать
пачкать	испачкать
пачкать	напачкать
пеленать	запеленать
пеленать	спеленать
пеленговать	запеленговать
пенить	вспенить
пепелить	испепелить
переть	спереть
перчить	наперчить
перчить	поперчить
песочить	пропесочить
пестовать	выпестовать
петь	воспеть
петь	пропеть
печалить	опечалить
печатать	напечатать
печатать	отпечатать
печь	испечь
писать	написать
питать	напитать
питать	пропитать
пить	выпить
пичкать	напичкать
плавить	выплавить
плавить	расплавить
плавить	сплавить
планировать	запланировать
планировать	распланировать
пластать	распластать
платать	заплатать
платить	заплатить
платить	уплатить
плевать	наплевать
плести	заплести
плести	сплести
плодить	наплодить
плодить	расплодить
плоить	наплоить
пломбировать	запломбировать
пломбировать	опломбировать
плотить	сплотить
плюсовать	приплюсовать
плющить	расплющить
плющить	сплющить
плясать	сплясать
поганить	опоганить
позорить	опозорить
поить	выпоить
поить	напоить
покоить	упокоить
полировать	наполировать
полировать	отполировать
полоскать	выполоскать
полоскать	отполоскать
полоскать	прополоскать
полосовать	исполосовать
полосовать	располосовать
полоть	выполоть
полошить	всполошить
помадить	напомадить
пороть	выпороть
пороть	распороть
порочить	опорочить
порошить	запорошить
порошить	напорошить
портить	испортить
потрошить	выпотрошить
потрошить	распотрошить
потчевать	попотчевать
поэтизировать	опоэтизировать
править	выправить
править	направить
праздновать	отпраздновать
прессовать	отпрессовать
прессовать	спрессовать
приветствовать	поприветствовать
приходовать	заприходовать
приходовать	оприходовать
пробовать	испробовать
пробовать	попробовать
провоцировать	спровоцировать
программировать	запрограммировать
проектировать	запроектировать
проектировать	спроектировать
проецировать	спроецировать
пророчить	напророчить
просить	попросить
простеть	попростеть
протестовать	опротестовать
протоколировать	запротоколировать
профилировать	спрофилировать
прудить	запрудить
пружинить	напружинить
прыскать	напрыскать
прясть	выпрясть
прясть	спрясть
прятать	спрятать
псоветь	опсоветь
публиковать	опубликовать
пугать	испугать
пугать	напугать
пудрить	напудрить
пудрить	попудрить
путать	впутать
путать	запутать
путать	перепутать
путать	спутать
пухнуть	распухнуть
пучить	вспучить
пучить	выпучить
пушить	распушить
пылить	запылить
пьянить	опьянить
пялить	распялить
пятить	попятить
пятнать	запятнать
работать	сработать
равнять	сравнять
радовать	обрадовать
радовать	порадовать
разить	поразить
разуметь	уразуметь
рапортовать	отрапортовать
растить	вырастить
расходовать	израсходовать
рвать	вырвать
рвать	порвать
рвать	разорвать
рвать	сорвать
ревизовать	обревизовать
ревновать	приревновать
регистрировать	зарегистрировать
регулировать	зарегулировать
регулировать	отрегулировать
регулировать	урегулировать
редактировать	отредактировать
резать	зарезать
резать	нарезать
резать	разрезать
резать	срезать
резервировать	зарезервировать
рекомендовать	отрекомендовать
рекомендовать	порекомендовать
ремизить	обремизить
ремонтировать	отремонтировать
репетировать	отрепетировать
репетировать	прорепетировать
репетировать	срепетировать
репетовать	отрепетовать
реставрировать	отреставрировать
ретушировать	отретушировать
реферировать	прореферировать
рецензировать	отрецензировать
рецензировать	прорецензировать
решетить	изрешетить
рисовать	нарисовать
рифмовать	срифмовать
ровнять	выровнять
ровнять	разровнять
ровнять	сровнять
роднить	породнить
роднить	сроднить
рознить	разрознить
роить	сроить
ронять	уронить
рубить	срубить
ругать	выругать
ругать	обругать
ругать	отругать
рулить	вырулить
румянить	зарумянить
румянить	нарумянить
румянить	разрумянить
русеть	обрусеть
русеть	порусеть
рушить	обрушить
рушить	порушить
рыть	вырыть
рыть	отрыть
рыхлеть	разрыхлеть
рыхлить	взрыхлить
рыхлить	разрыхлить
рядить	порядить
сажать	посадить
салить	осалить
сандалить	насандалить
сахарить	посахарить
сватать	посватать
сватать	сосватать
свежевать	освежевать
свежить	освежить
сверлить	просверлить
свидетельствовать	засвидетельствовать
свидетельствовать	освидетельствовать
свирепеть	освирепеть
свистеть	просвистеть
святить	освятить
седлать	оседлать
селить	поселить
семафорить	просемафорить
сердить	рассердить
серебрить	высеребрить
серебрить	посеребрить
сечь	высечь
сеять	посеять
сиветь	посиветь
сигнализировать	просигнализировать
сигналить	просигналить
сизеть	посизеть
силосовать	засилосовать
синить	подсинить
скалить	оскалить
скальпировать	оскальпировать
скандалить	оскандалить
сквернить	осквернить
скирдовать	заскирдовать
склонять	просклонять
скоблить	выскоблить
скопить	оскопить
скрести	выскрести
слабить	прослабить
славить	ославить
славить	прославить
сластить	насластить
сластить	посластить
слушать	выслушать
слушать	послушать
слушать	прослушать
слыхать	услыхать
слышать	услышать
слюнить	заслюнить
слюнить	наслюнить
слюнить	послюнить
слюнявить	наслюнявить
слюнявить	послюнявить
смешить	насмешить
смешить	рассмешить
смирнеть	посмирнеть
смолить	высмолить
смолить	обсмолить
смолить	осмолить
сморкать	высморкать
смотреть	посмотреть
снастить	оснастить
совершенствовать	усовершенствовать
совестить	усовестить
советь	осоветь
солить	засолить
солить	насолить
солить	посолить
сортировать	рассортировать
сосать	высосать
спеть	поспеть
спрягать	проспрягать
срамить	осрамить
ссорить	поссорить
ставить	поставить
старить	состарить
стегать	выстегать
стегать	отстегать
стегать	простегать
стеклить	застеклить
стеклить	остеклить
стенографировать	застенографировать
стирать	выстирать
стлать	настлать
стлать	постелить
стлать	постлать
стопорить	застопорить
страховать	застраховать
стрекать	обстрекать
стрекать	острекать
стричь	обстричь
стричь	остричь
строгать	выстрогать
строить	выстроить
строить	построить
строить	состроить
строчить	выстрочить
строчить	настрочить
строчить	прострочить
струнить	сострунить
стряпать	состряпать
студить	остудить
стучать	настучать
стыдить	пристыдить
стыковать	состыковать
стынуть	застынуть
стынуть	остынуть
стыть	застыть
сулить	посулить
супить	насупить
сурьмить	насурьмить
суслить	засуслить
сусолить	засусолить
сутулить	ссутулить
сучить	ссучить
сушить	высушить
считать	посчитать
считать	сосчитать
таврить	затаврить
таить	утаить
танцевать	станцевать
таранить	протаранить
таращить	вытаращить
таскать	оттаскать
тасовать	стасовать
татуировать	вытатуировать
тачать	вытачать
тачать	стачать
тащить	вытащить
тащить	стащить
твердить	вытвердить
твердить	затвердить
творить	растворить
творить	сотворить
творожить	створожить
телеграфировать	протелеграфировать
телефонировать	протелефонировать
теребить	вытеребить
тереть	растереть
терзать	растерзать
терпеть	потерпеть
терять	потерять
терять	утерять
теснить	потеснить
теснить	стеснить
тешить	потешить
тибрить	стибрить
тихнуть	затихнуть
тихнуть	утихнуть
ткать	выткать
ткать	соткать
толочь	истолочь
толочь	растолочь
толочь	столочь
томить	истомить
топить	вытопить
топить	истопить
топить	потопить
топить	растопить
топить	стопить
топить	утопить
топнуть	потопнуть
топорщить	встопорщить
топтать	потоптать
топтать	стоптать
топырить	встопырить
топырить	растопырить
торговать	приторговать
торговать	сторговать
торить	проторить
тормозить	затормозить
торопить	поторопить
торцевать	заторцевать
точить	выточить
точить	источить
точить	наточить
тошнить	вытошнить
тошнить	стошнить
тощать	потощать
травить	вытравить
травить	затравить
травить	натравить
травить	отравить
травить	потравить
травить	стравить
тралить	протралить
трамбовать	вытрамбовать
трамбовать	затрамбовать
трамбовать	утрамбовать
транжирить	протранжирить
транжирить	растранжирить
транскрибировать	протранскрибировать
тратить	истратить
тратить	потратить
трафить	потрафить
требовать	потребовать
тревожить	встревожить
тревожить	потревожить
трезветь	протрезветь
трезвить	отрезвить
трезвить	протрезвить
трезвонить	растрезвонить
трелевать	стрелевать
тренировать	натренировать
треножить	стреножить
трепать	истрепать
трепать	оттрепать
трепать	потрепать
трепать	растрепать
троить	строить
трубить	протрубить
трудить	утрудить
трусить	натрусить
трясти	вытрясти
тузить	оттузить
туманить	затуманить
туманить	отуманить
тупить	затупить
тупить	иступить
турить	вытурить
турить	протурить
тухнуть	затухнуть
тухнуть	протухнуть
тучнеть	отучнеть
тушевать	затушевать
тушить	затушить
тушить	потушить
тушить	стушить
тушить	утушить
тюковать	затюковать
тяжелить	отяжелить
тянуть	вытянуть
тянуть	потянуть
тянуть	протянуть
увечить	изувечить
удить	выудить
уродовать	изуродовать
утюжить	выутюжить
утюжить	отутюжить
учить	выучить
учить	научить
учить	обучить
фабриковать	сфабриковать
фабрить	нафабрить
фальцевать	сфальцевать
фантазировать	сфантазировать
фаршировать	зафаршировать
фасовать	расфасовать
фиксировать	зафиксировать
фильтровать	отфильтровать
фильтровать	профильтровать
фокусировать	сфокусировать
формировать	сформировать
формовать	отформовать
формовать	сформовать
формулировать	сформулировать
фотографировать	сфотографировать
фрахтовать	зафрахтовать
фрезеровать	отфрезеровать
фуговать	сфуговать
характеризовать	охарактеризовать
хаять	охаять
хвалить	похвалить
хватать	схватить
херить	похерить
химичить	схимичить
хлороформировать	захлороформировать
хмелить	охмелить
хмурить	нахмурить
ходить	сходить
холодить	нахолодить
холостить	выхолостить
холостить	охолостить
хоронить	захоронить
хоронить	похоронить
хоронить	схоронить
хотеть	захотеть
хохлить	нахохлить
хранить	сохранить
хрипеть	прохрипеть
хромировать	отхромировать
хронометрировать	захронометрировать
хронометрировать	прохронометрировать
худать	похудать
хулиганничать	нахулиганничать
цапать	сцапать
царапать	нацарапать
царапать	оцарапать
царапать	поцарапать
цедить	выцедить
цедить	процедить
целить	нацелить
целовать	поцеловать
цементировать	зацементировать
цементировать	сцементировать
ценить	оценить
центрировать	отцентрировать
центровать	зацентровать
центровать	отцентровать
цепенить	оцепенить
циклевать	отциклевать
цинковать	оцинковать
цитировать	процитировать
цыганить	выцыганить
чаевать	почаевать
чаевничать	почаевничать
чалить	зачалить
чаровать	очаровать
чеканить	вычеканить
чеканить	отчеканить
чеканить	прочеканить
чеканить	расчеканить
черенковать	отчеренковать
чернить	вычернить
чернить	зачернить
чернить	очернить
черствить	очерствить
чертить	начертить
чесать	вычесать
чесать	почесать
чесать	причесать
чесать	расчесать
честь	почесть
чехлить	зачехлить
чинить	зачинить
чинить	очинить
чинить	починить
чинить	учинить
чистить	вычистить
чистить	обчистить
чистить	очистить
чистить	почистить
читать	прочесть
читать	прочитать
чихать	начихать
чихвостить	отчихвостить
членить	расчленить
чувствовать	почувствовать
чудить	учудить
чуять	почуять
швартовать	зашвартовать
швартовать	ошвартовать
швартовать	пришвартовать
шевелить	пошевелить
шевелить	расшевелить
шелудиветь	зашелудиветь
шельмовать	ошельмовать
шептать	прошептать
шикать	ошикать
шинковать	нашинковать
шить	сшить
шифровать	зашифровать
школить	вышколить
шлепать	отшлепать
шлифовать	вышлифовать
шлифовать	зашлифовать
шлифовать	отшлифовать
шнуровать	зашнуровать
шнуровать	прошнуровать
шпаклевать	зашпаклевать
шпарить	ошпарить
шпиговать	нашпиговать
шпунтовать	зашпунтовать
штамповать	выштамповать
штамповать	заштамповать
штамповать	наштамповать
штамповать	отштамповать
штамповать	проштамповать
штемпелевать	заштемпелевать
штемпелевать	проштемпелевать
штопать	заштопать
штрафовать	оштрафовать
штриховать	заштриховать
штудировать	проштудировать
штукатурить	выштукатурить
штукатурить	отштукатурить
штукатурить	оштукатурить
штуковать	заштуковать
щадить	пощадить
щерить	ощерить
щетинить	ощетинить
щипать	общипать
щипать	ощипать
щипать	ущипнуть
щупать	пощупать
щурить	сощурить
экзаменовать	проэкзаменовать
экономить	сэкономить
электризовать	наэлектризовать
язвить	съязвить
яловеть	ояловеть
яснеть	прояснеть
